x,y
-1.435321432329087488e+00,8.423996352358413819e-01
-1.472677993116778827e+00,8.422352288926722164e-01
-1.509315434871895567e+00,8.417732297489093352e-01
-1.545244177711406985e+00,8.410086599881401170e-01
-1.580474785571712504e+00,8.399373643838796699e-01
-1.615017920588024181e+00,8.385559717996797779e-01
-1.648884301949379738e+00,8.368618564501378865e-01
-1.682084668910623249e+00,8.348530991804860024e-01
-1.714629747652535841e+00,8.325284489868397531e-01
-1.746530221693055163e+00,8.298872849671057317e-01
-1.777796705565203750e+00,8.269295788635212530e-01
-1.808439721491305940e+00,8.236558583320544580e-01
-1.838469678797416629e+00,8.200671710508615764e-01
-1.867896855826733260e+00,8.161650497597479070e-01
-1.896731384125696529e+00,8.119514783046737350e-01
-1.924983234691465928e+00,8.074288587458153810e-01
-1.952662206084044616e+00,8.025999795739988674e-01
-1.979777914221019675e+00,7.974679850687781402e-01
-2.006339783686684974e+00,7.920363458212403840e-01
-2.032357040401020942e+00,7.863088304360906777e-01
-2.057838705507001542e+00,7.802894784203531220e-01
-2.082793590347096213e+00,7.739825742598517300e-01
-2.107230292411741424e+00,7.673926226796126127e-01
-2.131157192153631197e+00,7.605243250800876043e-01
-2.154582450572315899e+00,7.533825571376301378e-01
-2.177514007483413394e+00,7.459723475549118188e-01
-2.199959580395920433e+00,7.382988579445712851e-01
-2.221926663929755463e+00,7.303673638276881874e-01
-2.243422529713460456e+00,7.221832367270838438e-01
-2.264454226709371909e+00,7.137519273343762016e-01
-2.285028581920122814e+00,7.050789497286501506e-01
-2.305152201436495574e+00,6.961698666239491962e-01
-2.324831471791954041e+00,6.870302756219524021e-01
-2.344072561594299664e+00,6.776657964458117078e-01
-2.362881423409046722e+00,6.680820591304045264e-01
-2.381263795873075573e+00,6.582846931438514071e-01
-2.399225206020471290e+00,6.482793174145710102e-01
-2.416770971805301649e+00,6.380715312376694648e-01
-2.433906204808549134e+00,6.276669060338307959e-01
-2.450635813118478001e+00,6.170709779333642953e-01
-2.466964504375350309e+00,6.062892411574484219e-01
-2.482896788972730029e+00,5.953271421679536823e-01
